"Choice_Number","Information","Reward","Subject","Trial","Age"
3,0.791499585378117,0.9375,"YA1",65,20
4,0.878099748407973,0.833333333333333,"YA1",65,20
5,0.621899139083991,1,"YA1",65,20
1,0.860735512304263,0.27906976744186,"YA1",66,20
2,0.889456873622541,0.666666666666667,"YA1",66,20
3,0.693147180559944,0.333333333333333,"YA1",66,20
4,0.859262934249723,0.857142857142857,"YA1",66,20
5,1.06272612719032,0.96,"YA1",66,20
1,0.869260924111711,0.675675675675676,"YA1",67,20
2,0.693143673424677,0.351351351351351,"YA1",67,20
3,0.691670048394516,0.694444444444444,"YA1",67,20
4,0.869399372261612,0.521739130434783,"YA1",67,20
5,0.850787863028846,0.75,"YA1",67,20
1,0.869975765949984,0.684210526315789,"YA1",68,20
2,0.830621776160593,0.470588235294118,"YA1",68,20
3,0.890189372379355,0.272727272727273,"YA1",68,20
4,0.746878599507951,1,"YA1",68,20
5,0.753833006370557,0.961538461538462,"YA1",68,20
6,0.645942207728177,1,"YA1",68,20
1,0.86975411637837,0.666666666666667,"YA1",69,20
2,0.693147180559901,0.342105263157895,"YA1",69,20
3,0.853737621714734,0.866666666666667,"YA1",69,20
4,0.881073996768198,0.962962962962963,"YA1",69,20
1,0.860808141677555,0.288888888888889,"YA1",70,20
2,0.837998098028876,1,"YA1",70,20
3,0.870124290030765,0.964285714285714,"YA1",70,20
4,0.638297649235333,1,"YA1",70,20
1,0.870259192522932,0.675,"YA1",71,20
2,0.830071576204388,0.457142857142857,"YA1",71,20
3,0.892992071807265,0.304347826086957,"YA1",71,20
4,0.749565373477014,1,"YA1",71,20
5,0.756016228652695,0.96551724137931,"YA1",71,20
6,0.630271216310586,1,"YA1",71,20
1,0.870025979439752,0.658536585365854,"YA1",72,20
2,0.693143614827399,0.358974358974359,"YA1",72,20
3,0.69137720663101,0.702702702702703,"YA1",72,20
4,0.873711096781244,0.541666666666667,"YA1",72,20
5,0.845609963617187,0.764705882352941,"YA1",72,20
1,0.862141506321503,0.319148936170213,"YA1",73,20
2,0.89340710901164,0.666666666666667,"YA1",73,20
3,0.693147180559944,0.35,"YA1",73,20
4,0.867088573806324,0.875,"YA1",73,20
5,1.06481093658804,0.966666666666667,"YA1",73,20
1,0.871502090705334,0.674418604651163,"YA1",74,20
2,0.884477407158623,0.3125,"YA1",74,20
3,0.837179091763422,0.444444444444444,"YA1",74,20
4,0.693018948371113,0.619047619047619,"YA1",74,20
5,0.748684151627516,0.764705882352941,"YA1",74,20
6,0.739156827969256,1,"YA1",74,20
7,0.737639148119784,0.710526315789474,"YA1",74,20
8,0.682125416382079,0.764705882352941,"YA1",74,20
9,0.410971940457277,0.928571428571429,"YA1",74,20
10,0.262067697194225,0.928571428571429,"YA1",74,20
1,0.861674271550982,0.306122448979592,"YA1",75,20
2,0.842225047421648,1,"YA1",75,20
3,0.878099748407978,0.967741935483871,"YA1",75,20
4,0.621899139083994,1,"YA1",75,20
